utcDate,home_team,away_team,home_score,away_score,Season,winner,home_team_avg_goals,away_team_avg_goals,goal_diff_avg,home_is_top,away_is_top,home_form,away_form,home_points_avg,home_points_avg_away,points_diff,home_team_enc,away_team_enc
2000-01-10,Arsenal,Man United,1.0,0.0,2000-2001,HOME_TEAM,2.142857142857143,1.6031746031746033,0.5396825396825395,1,0,3.0,0.0,2.2154195011337867,2.2063492063492065,0.009070294784580213,0,27
2000-01-10,Chelsea,Liverpool,3.0,0.0,2000-2001,HOME_TEAM,2.056689342403628,1.6757369614512472,0.38095238095238093,1,1,3.0,0.0,2.133786848072562,2.2154195011337867,-0.08163265306122458,13,24
2000-01-10,Sunderland,Leicester,0.0,0.0,2000-2001,DRAW,1.0962962962962963,1.280701754385965,-0.18440545808966857,0,0,1.0,1.0,1.2148148148148148,1.486842105263158,-0.2720272904483432,38,23
2000-02-12,West Ham,Middlesbrough,1.0,0.0,2000-2001,HOME_TEAM,1.4265402843601895,0.7894736842105263,0.6370666001496632,0,0,3.0,0.0,1.457345971563981,1.375,0.08234597156398094,43,28
2000-02-12,Man United,Tottenham,2.0,0.0,2000-2001,HOME_TEAM,2.0476190476190474,1.4671201814058956,0.5804988662131518,0,0,3.0,0.0,2.2063492063492065,1.9501133786848073,0.25623582766439923,27,40
2000-02-12,Liverpool,Charlton,3.0,0.0,2000-2001,HOME_TEAM,2.111111111111111,0.9157894736842105,1.1953216374269007,1,0,3.0,0.0,2.2154195011337867,1.4736842105263157,0.741735290607471,24,12
2000-02-12,Leicester,Leeds,3.0,1.0,2000-2001,HOME_TEAM,1.4342105263157894,1.3983050847457628,0.03590544157002662,0,0,3.0,0.0,1.486842105263158,1.4152542372881356,0.07158786797502237,23,22
2000-02-12,Ipswich,Derby,0.0,1.0,2000-2001,AWAY_TEAM,1.1403508771929824,0.6140350877192983,0.5263157894736842,0,0,0.0,3.0,1.1754385964912282,1.0175438596491229,0.1578947368421053,21,16
2000-02-12,Bradford,Coventry,2.0,1.0,2000-2001,HOME_TEAM,1.0526315789473684,1.1578947368421053,-0.10526315789473695,0,0,3.0,0.0,1.0,1.0,0.0,7,14
2000-02-12,Aston Villa,Newcastle,1.0,1.0,2000-2001,DRAW,1.3723958333333333,1.1091811414392059,0.2632146918941274,0,0,1.0,1.0,1.4739583333333333,1.650124069478908,-0.17616573614557485,1,29
2000-02-12,Arsenal,Southampton,1.0,0.0,2000-2001,HOME_TEAM,2.142857142857143,1.0315789473684212,1.1112781954887216,1,0,3.0,0.0,2.2154195011337867,1.3333333333333333,0.8820861678004535,0,36
2000-03-12,Chelsea,Man City,2.0,1.0,2000-2001,HOME_TEAM,2.056689342403628,1.661137440758294,0.39555190164533416,1,0,3.0,0.0,2.133786848072562,2.1729857819905214,-0.039198933917959256,13,26
2000-04-11,Leeds,Liverpool,4.0,3.0,2000-2001,HOME_TEAM,1.4322033898305084,1.6757369614512472,-0.24353357162073874,0,1,3.0,0.0,1.4152542372881356,2.2154195011337867,-0.8001652638456511,22,24
2000-04-11,Charlton,Bradford,2.0,0.0,2000-2001,HOME_TEAM,1.2736842105263158,0.5263157894736842,0.7473684210526316,0,0,3.0,0.0,1.4736842105263157,1.0,0.4736842105263157,12,7
2000-04-11,Coventry,Man United,1.0,2.0,2000-2001,AWAY_TEAM,0.7368421052631579,1.6031746031746033,-0.8663324979114454,0,0,0.0,1.5,1.0,2.2063492063492065,-1.2063492063492065,14,27
2000-04-11,Man City,Leicester,0.0,1.0,2000-2001,AWAY_TEAM,2.2606635071090047,1.280701754385965,0.9799617527230398,0,0,0.0,2.0,2.1729857819905214,1.486842105263158,0.6861436767273634,26,23
2000-04-11,Middlesbrough,Arsenal,0.0,1.0,2000-2001,AWAY_TEAM,1.2960526315789473,1.6303854875283448,-0.33433285594939743,0,1,0.0,3.0,1.375,2.2154195011337867,-0.8404195011337867,28,0
2000-04-11,Newcastle,Ipswich,2.0,1.0,2000-2001,HOME_TEAM,1.5508684863523574,1.2105263157894737,0.34034217056288374,0,0,3.0,0.0,1.650124069478908,1.1754385964912282,0.47468547298767994,29,21
2000-04-11,Southampton,Chelsea,3.0,2.0,2000-2001,HOME_TEAM,1.3228070175438595,1.5578231292517006,-0.2350161117078411,0,1,3.0,0.0,1.3333333333333333,2.133786848072562,-0.8004535147392289,36,13
2000-04-11,Tottenham,Sunderland,2.0,1.0,2000-2001,HOME_TEAM,1.8231292517006803,0.8629629629629629,0.9601662887377174,0,0,3.0,0.0,1.9501133786848073,1.2148148148148148,0.7352985638699925,40,38
2000-04-12,Sunderland,Everton,2.0,0.0,2000-2001,HOME_TEAM,1.0962962962962963,1.0498866213151927,0.0464096749811036,0,0,2.0,0.0,1.2148148148148148,1.6757369614512472,-0.4609221466364324,38,17
2000-05-09,Leeds,Man City,1.0,2.0,2000-2001,AWAY_TEAM,1.4322033898305084,1.661137440758294,-0.22893405092778552,0,0,1.5,1.5,1.4152542372881356,2.1729857819905214,-0.7577315447023858,22,26
2000-05-09,Man United,Bradford,6.0,0.0,2000-2001,HOME_TEAM,2.0476190476190474,0.5263157894736842,1.5213032581453634,0,0,3.0,0.0,2.2063492063492065,1.0,1.2063492063492065,27,7
2000-05-09,Sunderland,West Ham,1.0,1.0,2000-2001,DRAW,1.0962962962962963,1.0900473933649288,0.006248902931367484,0,0,1.6666666666666667,1.0,1.2148148148148148,1.457345971563981,-0.24253115674916614,38,43
